Topic ID,Support,Weight,Avg,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
18,2010,143.10470422018915,0.07119637025880057,like,taste like,really like,people,lot,think,just like,like taste,kid,thing,know,try,probably,flavor like,real,sweet,feel,doe,like coffee,husband
0,1902,117.03864968229871,0.06153451613159764,product,great product,good product,way,happy,company,doe,ingredient,products,problem,used,able,new,ordered,people,disappointed,excellent,think,issue,item
13,1860,131.86879199867633,0.07089719999928835,taste,taste like,taste good,taste great,doe,doe taste,say,artificial,great taste,bad,good taste,taste texture,like taste,texture,taste just,smell,aftertaste,bitter,real,sweetener
8,1846,137.54825495801308,0.07451151406176224,good,taste good,pretty,pretty good,really good,good taste,good product,deal,good price,good flavor,tasty,brand,flavor good,quite,make good,hand,expensive,size,got,feel
14,1690,129.01708419937341,0.07634146994045764,flavor,try,mild,good flavor,great flavor,flavor good,doe,texture,different,tried,strong,definitely,lot,flavor like,variety,pack,pleasant,wonderful,smooth,fan
25,1601,119.75071264340686,0.07479744699775569,just,right,just right,just like,taste just,think,year,perfect,sweet,small,size,big,say,know,fine,plain,eating,looking,got,old
38,1344,114.118229009288,0.08490939658429167,1,2,3,5,4,fat,serving,1 2,milk,calorie,ounce,pack,star,gram,oz,calories,size,6,cup,package
10,1208,112.84450464909077,0.09341432504063805,great,taste great,great product,great taste,great price,great tasting,make great,great flavor,tasting,deal,value,fast,buying,thanks,products,try,alternative,happy,chicken,glad
49,1191,90.81423280933967,0.07625040538147747,make,easy,make great,easy make,make good,quick,make sure,home,cup,want,making,sure,got,difference,half,ice,husband,handy,used,way
1,1111,163.5898035645974,0.14724554776291393,coffee,roast,strong,blend,bold,bitter,flavored,smooth,flavored coffee,cup coffee,starbucks,rich,like coffee,dark,morning,medium,brew,french,ground,decaf
27,1070,92.33039113963434,0.08629008517722836,sugar,sweet,syrup,sugar free,corn,stevia,corn syrup,brown sugar,sweetener,calorie,natural,brown,artificial,free,added,high,calories,cane,low,soda
23,1037,90.14121581096632,0.08692499113882962,really,really good,really like,really liked,thing,liked,enjoyed,try,tried,enjoy,doe,think,want,need,heat,feel,brand,ok,fan,eating
4,1022,104.16372897704902,0.1019214569247055,love,kid,perfect,absolutely,wonderful,fact,husband,son,try,amazon,products,treat,way,crunchy,having,expensive,amazing,hand,right,enjoy
30,999,87.73752380079546,0.0878253491499454,use,baking,cooking,easy,used,stevia,using,powder,salad,need,clean,sweetener,recipe,making,shake,cook,lot,ground,bottle,buying
35,953,73.41696177089247,0.07703773533147164,best,tried,far,brand,amazon,tasting,eaten,market,able,thing,tasted,think,know,real,husband,powder,afternoon,variety,away,way
55,882,83.70624701696929,0.09490504196935293,did,did like,care,liked,know,try,tasted,thought,tried,bad,texture,glad,expect,review,used,think,expected,bought,decided,notice
45,861,79.34346495433779,0.09215268868099627,time,long,long time,bought,using,second,arrived,want,batch,hard,ordered,short,perfect,longer,need,say,gum,used,tried,fridge
19,851,82.09220553490083,0.0964655764217401,price,good price,great price,amazon,purchase,lot,deal,shipping,worth,beat,excellent,buying,local,pay,item,sale,wish,purchased,lower,perfect
29,835,78.33867956342561,0.0938187779202702,little,little bit,add little,pretty,way,bland,big,disappointed,crunchy,worth,dry,different,flavorful,stop,fact,thought,pricey,pop,perfect,getting
3,808,88.02427113763575,0.10894092962578682,chocolate,dark,dark chocolate,milk,caramel,milk chocolate,cocoa,chocolate flavor,treat,white,melt,hot chocolate,chocolate chip,sweet,rich,mouth,filling,creamy,smooth,fan
34,803,69.09151827324973,0.08604174131164351,store,grocery,grocery store,local,amazon,buying,brand,cheaper,bought,bottle,sale,chili,money,available,year,carry,husband,glad,bulk,case
33,746,72.16691459016089,0.09673849140772237,buy,definitely,bought,way,raw,run,kind,fast,brand,cost,bulk,different,fish,bags,cheaper,seed,case,stop,old,matter
37,741,70.95232604889284,0.09575212692158279,better,taste better,probably,regular,think,tasting,packaged,brand,health,market,cheap,way,tasted,diet,buying,want,try,special,tried,say
7,727,75.59316021398661,0.10397958763959643,drink,juice,soda,refreshing,cold,caffeine,beverage,drinks,crystal,light,crystal light,drinking,energy drink,switch,stevia,aftertaste,cherry,vitamin,drank,regular
12,680,53.187828035059255,0.07821739416920478,add,add little,chicken,easy,need,packet,pepper,want,cook,bean,cream,quick,added,extra,meal,item,salad,dried,protein,seasoning
2,677,110.48325313502939,0.1631953517504127,tea,black,lipton,black tea,tea bag,cup tea,iced,iced tea,cup,leaf,teas,strong,drinking,herbal,ice,peppermint,drinker,grey,green tea,bags
16,637,82.41467252336514,0.1293793917164288,cup,k,k cup,cups,k cups,keurig,cup coffee,filter,brew,plastic,ground,machine,strong,single,bitterness,using,cup tea,decaf,variety,dark
31,636,70.03833964762819,0.11012317554658521,water,bottle,squeeze,mio,packet,flavoring,drinking,hot water,clean,lemon,minute,adding,peach,plain,coconut,vitamin,boil,glass,health,convenient
72,628,60.12485536298433,0.09574021554615339,bit,little bit,quite,spicy,clean,prefer,thing,want,way,stronger,pricey,sweet,bite,salty,blend,tiny,tasted,texture,bland,think
47,622,65.79836978902257,0.10578516043251217,snack,lunch,quick,afternoon,tasty,filling,pack,kid,breakfast,salty,meal,craving,calorie,low,eating,berry,calories,sweet,perfect,package
9,600,62.571720675777684,0.10428620112629614,bar,bars,protein,granola,fiber,candy bar,gram,nut,chewy,filling,nutrition,diet,fat,kind,low,calorie,texture,breakfast,date,ingredient
62,596,56.12236438862566,0.09416504092051285,quality,high quality,high,bean,products,brand,value,excellent,continue,packaging,higher,tuna,bought,beans,chili,expensive,powder,comparison,company,packed
